observation_date,WM2NS
2004-04-26,6199.2
2004-05-03,6227.0
2004-05-10,6258.8
2004-05-17,6287.3
2004-05-24,6229.6
2004-05-31,6249.9
2004-06-07,6303.2
2004-06-14,6310.5
2004-06-21,6273.4
2004-06-28,6237.7
2004-07-05,6309.8
2004-07-12,6309.9
2004-07-19,6283.0
2004-07-26,6247.5
2004-08-02,6284.5
2004-08-09,6320.9
2004-08-16,6334.2
2004-08-23,6295.6
2004-08-30,6275.7
2004-09-06,6357.6
2004-09-13,6368.3
2004-09-20,6351.1
2004-09-27,6300.0
2004-10-04,6353.7
2004-10-11,6366.1
2004-10-18,6380.7
2004-10-25,6332.3
2004-11-01,6362.5
2004-11-08,6409.2
2004-11-15,6429.6
2004-11-22,6403.4
2004-11-29,6404.3
2004-12-06,6446.0
2004-12-13,6450.8
2004-12-20,6465.2
2004-12-27,6457.6
2005-01-03,6449.5
2005-01-10,6445.0
2005-01-17,6444.0
2005-01-24,6379.1
2005-01-31,6351.1
2005-02-07,6414.8
2005-02-14,6409.3
2005-02-21,6410.2
2005-02-28,6413.5
2005-03-07,6467.0
2005-03-14,6474.1
2005-03-21,6471.5
2005-03-28,6470.1
2005-04-04,6528.5
2005-04-11,6544.3
2005-04-18,6558.3
2005-04-25,6467.8
2005-05-02,6448.7
2005-05-09,6478.8
2005-05-16,6482.9
2005-05-23,6445.6
2005-05-30,6444.7
2005-06-06,6528.3
2005-06-13,6532.2
2005-06-20,6531.8
2005-06-27,6487.1
2005-07-04,6547.6
2005-07-11,6549.1
2005-07-18,6540.8
2005-07-25,6503.3
2005-08-01,6534.7
2005-08-08,6578.1
2005-08-15,6577.9
2005-08-22,6557.7
2005-08-29,6527.2
2005-09-05,6607.3
2005-09-12,6615.4
2005-09-19,6607.7
2005-09-26,6550.2
2005-10-03,6598.1
2005-10-10,6626.3
2005-10-17,6653.9
2005-10-24,6600.0
2005-10-31,6593.2
2005-11-07,6661.2
2005-11-14,6670.5
2005-11-21,6668.1
2005-11-28,6648.1
2005-12-05,6696.6
2005-12-12,6702.9
2005-12-19,6718.2
2005-12-26,6716.4
2006-01-02,6737.3
2006-01-09,6755.8
2006-01-16,6746.0
2006-01-23,6695.6
2006-01-30,6645.5
2006-02-06,6711.7
2006-02-13,6715.1
2006-02-20,6740.0
2006-02-27,6741.7
2006-03-06,6808.9
2006-03-13,6799.7
2006-03-20,6809.0
2006-03-27,6787.3
2006-04-03,6847.0
2006-04-10,6888.6
2006-04-17,6927.9
2006-04-24,6844.2
2006-05-01,6790.9
2006-05-08,6804.1
2006-05-15,6821.7
2006-05-22,6800.1
2006-05-29,6787.2
2006-06-05,6863.6
2006-06-12,6868.8
2006-06-19,6873.3
2006-06-26,6829.8
2006-07-03,6880.0
2006-07-10,6915.2
2006-07-17,6898.6
2006-07-24,6850.3
2006-07-31,6840.3
2006-08-07,6912.5
2006-08-14,6906.6
2006-08-21,6909.0
2006-08-28,6876.4
2006-09-04,6939.8
2006-09-11,6950.1
2006-09-18,6941.0
2006-09-25,6882.7
2006-10-02,6924.7
2006-10-09,6981.0
2006-10-16,7000.4
2006-10-23,6957.5
2006-10-30,6941.3
2006-11-06,7023.3
2006-11-13,7028.4
2006-11-20,7040.2
2006-11-27,7041.6
2006-12-04,7074.6
2006-12-11,7083.8
2006-12-18,7101.7
2006-12-25,7119.7
